职位名称,关键字,频次
DBA,oracle,0.8373104856218595
DBA,sql,0.6535590741864573
DBA,mysql,0.6490894452596502
DBA,dba,0.3511141834725116
DBA,linux,0.31784027923961444
DBA,shell,0.14873931817541333
DBA,server,0.1338405550860564
DBA,python,0.11943841743301138
DBA,redis,0.11546541394251619
DBA,ebs,0.09535208377188434
DBA,erp,0.08939257853614158
DBA,windows,0.07747356806465602
DBA,unix,0.07697694262834413
DBA,mongodb,0.07499044088309655
DBA,experience,0.07027249923813352
DBA,java,0.06828599749288593
DBA,rac,0.06729274662026213
DBA,ocp,0.06654780846579428
DBA,pl,0.05785686333033607
DBA,db2,0.051152419940125454
DBA,perl,0.05065579450381356
DBA,etl,0.04842098004041002
DBA,data,0.04767604188594217
DBA,zy,0.043703038395446994
DBA,star,0.043703038395446994
DBA,amp,0.04097159849573156
DBA,mba,0.040474973059419654
DBA,com,0.038985096750483964
DBA,development,0.03799184587786017
DBA,team,0.03501209325998878
DBA,www,0.03476378054183284
DBA,ocm,0.034515467823676885
DBA,skills,0.034515467823676885
DBA,database,0.03327390423289714
DBA,hadoop,0.032280653360273345
DBA,抗压,0.03201588648248587
DBA,db,0.031535715205805497
DBA,business,0.031535715205805497
DBA,support,0.03128740248764955
DBA,bi,0.031039089769493603
DBA,aix,0.030790777051337655
DBA,和调,0.030045838896869806
DBA,system,0.02930090074240196
DBA,http,0.028555962587934115
DBA,technical,0.028555962587934115
DBA,nosql,0.028307649869778163
DBA,management,0.026569460842686524
DBA,knowledge,0.024831271815594882
DBA,sqlserver,0.024582959097438933
DBA,全日制,0.02436649465644317
DBA,good,0.024334646379282985
DBA,英语,0.02358252041329449
DBA,postgresql,0.023341395506659188
DBA,email,0.022596457352191342
DBA,和运维,0.022348144634035394
DBA,mobile,0.021851519197723497
DBA,tel,0.021851519197723497
DBA,huangyj,0.021851519197723497
DBA,comwebsite,0.021851519197723497
DBA,work,0.02160320647956755
DBA,ms,0.0208582683250997
DBA,net,0.019865017452475906
DBA,二次开发,0.01967748498014706
DBA,application,0.019616704734319958
DBA,app,0.01936839201616401
DBA,补丁,0.019301961532255316
DBA,years,0.019120079298008057
DBA,english,0.01862345386169616
DBA,systems,0.018375141143540212
DBA,php,0.018126828425384264
DBA,sap,0.018126828425384264
DBA,web,0.017878515707228315
DBA,mssql,0.017630202989072367
DBA,cluster,0.017630202989072367
DBA,global,0.01738189027091642
DBA,will,0.01713357755276047
DBA,c#,0.01713357755276047
DBA,英文,0.01693606999819583
DBA,working,0.016885264834604518
DBA,h5,0.016885264834604518
