职位名称,关键字,频次
测试,java,0.17736387190870984
测试,测试计划,0.17317723629380635
测试,bug,0.15209272272670718
测试,sql,0.1421938854895172
测试,linux,0.1361381262385304
测试,web,0.13543938478649345
测试,android,0.13334316043038263
测试,mysql,0.09537820820304226
测试,英语,0.08927544826516015
测试,app,0.08734268150461745
测试,测试方法,0.07306253578472734
测试,c++,0.07033997283838525
测试,quality,0.06579815340014514
测试,ios,0.06544878267412667
测试,抗压,0.0646551077678259
测试,qc,0.06451712740474409
测试,oracle,0.06381838595270715
测试,python,0.06323610140934303
测试,pcb,0.06172216159659633
测试,office,0.05985885105783116
测试,amp,0.059509480331812685
测试,test,0.05683097143233775
测试,英文,0.052259808642294306
测试,net,0.051823324359406356
测试,c#,0.0505422983640053
测试,全日制,0.04993190205713367
测试,com,0.048795444733912945
测试,php,0.0470485911038206
测试,http,0.04390425456965437
测试,ui,0.043671340752308725
测试,css,0.0435548838436359
测试,experience,0.04099283185283379
测试,cad,0.04075991803548814
测试,嵌入式,0.04056010882902566
测试,erp,0.03843077986203167
测试,应届生,0.037303965622532
测试,server,0.03668392623193933
测试,html,0.03563581405388392
测试,javascript,0.035519357145211095
测试,spring,0.03540290023653827
测试,本科学历,0.03377250351511875
测试,product,0.03342313278910028
测试,iso,0.0315598222503351
测试,通讯,0.031262541142466536
测试,testing,0.030162339346261224
测试,work,0.029812968620242755
测试,emc,0.028764856442187344
测试,process,0.028764856442187344
测试,www,0.02818257189882323
测试,tcp,0.028066114990150406
测试,汇报,0.027855873212361038
测试,ip,0.02783320117280476
测试,windows,0.027600287355459115
测试,mvc,0.027600287355459115
测试,iso9001,0.02713445972076782
测试,xml,0.025969890634039587
测试,qa,0.02573697681669394
测试,customer,0.02527114918200265
测试,years,0.024805321547311354
测试,team,0.024106580095274416
测试,english,0.023407838643237477
测试,skills,0.02282555409987336
测试,excel,0.02282555409987336
测试,j2ee,0.022592640282527714
测试,design,0.022243269556509244
测试,project,0.022010355739163597
测试,led,0.02177744192181795
测试,bom,0.021660985013145128
测试,good,0.021544528104472303
测试,management,0.021195157378453833
测试,ajax,0.020612872835089717
测试,shell,0.020612872835089717
测试,iso9000,0.0200305882917256
测试,ms,0.01991413138305278
测试,全勤奖,0.019579600035440414
测试,pc,0.019215389931015837
测试,development,0.019215389931015837
测试,ts16949,0.018982476113670193
测试,gmp,0.018982476113670193
测试,related,0.01863310538765172
测试,arm,0.01863310538765172
测试,ppt,0.0185166484789789
测试,system,0.018400191570306076
