职位名称,关键字,频次
移动开发,ios,0.5662596336651914
移动开发,android,0.5469431332116725
移动开发,web,0.4564417514572232
移动开发,app,0.3051291645713255
移动开发,java,0.28938979383142127
移动开发,html5,0.23680598704128664
移动开发,javascript,0.2264323108718043
移动开发,net,0.2174894865877678
移动开发,ms,0.21105065310326152
移动开发,js,0.15524742957087373
移动开发,jquery,0.14666231825819867
移动开发,sql,0.14344290151594552
移动开发,ui,0.13700406803143925
移动开发,css3,0.12698810483331835
移动开发,html,0.12198012323425791
移动开发,css,0.10516761358026928
移动开发,http,0.10159048386665469
移动开发,server,0.09550936335350986
移动开发,asp,0.09479393741078694
移动开发,react,0.09407851146806402
移动开发,php,0.08907052986900359
移动开发,c++,0.0862088260981119
移动开发,linux,0.08048541855632854
移动开发,英文,0.07957744921436205
移动开发,mvc,0.07404658507182225
移动开发,sdk,0.0736888721004608
移动开发,api,0.06725003861595451
移动开发,英语,0.06461413013777828
移动开发,objective,0.05830721433191801
移动开发,oracle,0.05401465867558049
移动开发,excel,0.05401465867558049
移动开发,ip,0.05365694570421903
移动开发,adobe,0.05365694570421903
移动开发,powerpoint,0.05365694570421903
移动开发,spring,0.05329923273285757
移动开发,erp,0.05329923273285757
移动开发,欧元,0.05311590289723519
移动开发,h5,0.05222609381877318
移动开发,测试计划,0.05019019658491323
移动开发,native,0.048291251133797126
移动开发,angularjs,0.04650268627698982
移动开发,bootstrap,0.044356408448821064
移动开发,aws,0.043640982506098144
移动开发,word,0.04328326953473668
移动开发,outlook,0.04292555656337522
移动开发,ibm,0.04292555656337522
移动开发,人际沟通,0.04200982773345302
移动开发,xml,0.04077927873520646
移动开发,swift,0.03970613982112208
移动开发,中英文,0.0388508347070018
移动开发,json,0.038275287935676236
移动开发,mysql,0.038275287935676236
移动开发,ux,0.038275287935676236
移动开发,framework,0.038275287935676236
移动开发,tcp,0.03755986199295332
移动开发,c#,0.03720214902159186
移动开发,gui,0.0368444360502304
移动开发,ajax,0.03541358416478456
移动开发,photoshop,0.0350558711934231
移动开发,angular,0.03434044525070018
移动开发,scrum,0.033982732279338713
移动开发,indesign,0.032194167422531415
移动开发,plc,0.032194167422531415
移动开发,wan,0.032194167422531415
移动开发,lan,0.032194167422531415
移动开发,oop,0.031121028508447036
移动开发,vue,0.028974750680278275
移动开发,网络安全,0.02866045183303411
移动开发,socket,0.027543898794832433
移动开发,amp,0.02611304690938659
移动开发,j2ee,0.02575533393802513
移动开发,iphone,0.025397620966663672
移动开发,es6,0.024682195023940753
移动开发,wcf,0.024682195023940753
移动开发,seo,0.02325134313849491
移动开发,全日制,0.02308493534863555
移动开发,apache,0.02289363016713345
移动开发,oo,0.022178204224410532
移动开发,sharepoint,0.022178204224410532
移动开发,pc,0.021820491253049072
移动开发,illustrator,0.021820491253049072
移动开发,scada,0.021820491253049072
