职位名称,关键字,频次
运维,linux,0.6697116622185175
运维,mysql,0.34186181362740525
运维,windows,0.26698066714313007
运维,sql,0.2520647043625602
运维,oracle,0.223438109127123
运维,python,0.21620612717290727
运维,shell,0.21575412830076876
运维,java,0.19405818243812165
运维,erp,0.17944355223897737
运维,nginx,0.16422625687698184
运维,web,0.1630209265512792
运维,tomcat,0.13620232680439592
运维,redis,0.13349033357156503
运维,网络安全,0.13023903236072393
运维,server,0.11917703595384643
运维,php,0.11254771916248205
运维,ip,0.11028772480178962
运维,tcp,0.09943975187046605
运维,oa,0.09356376653266579
运维,zabbix,0.092509102497676
运维,信息安全,0.09086974017017871
运维,apache,0.08346912505490636
运维,sap,0.0748811464842752
运维,docker,0.071566488088593
运维,perl,0.06795049711148514
运维,抗压,0.06625124829599979
运维,全日制,0.060337236070317345
运维,和运维,0.060115849994418116
运维,office,0.059061185959428324
运维,nagios,0.05649985901731026
运维,系统安全,0.0491185405935233
运维,pc,0.04896654448166889
运维,idc,0.04384389059743276
运维,dns,0.042337227690304485
运维,vpn,0.042337227690304485
运维,com,0.041885228818166004
运维,hadoop,0.03932390187604794
运维,ad,0.036159909771078566
运维,unix,0.035406578317514426
运维,app,0.03465324686395029
运维,http,0.03254391879397071
运维,维和,0.031032521472471836
运维,c#,0.030886589596129606
运维,ccnp,0.03073592330541678
运维,英语,0.030675366792735612
运维,二次开发,0.030655514065321507
运维,本科学历,0.030133258142565473
运维,css,0.029379926689001336
运维,html,0.02907859410757568
运维,lvs,0.028777261526150025
运维,mes,0.028777261526150025
运维,mongodb,0.028174596363298717
运维,vmware,0.027722597491160232
运维,spring,0.026065268293319132
运维,ccna,0.02561326942118065
运维,h3c,0.025462603130467824
运维,c++,0.024859937967616513
运维,ppt,0.024558605386190858
运维,cacti,0.024407939095478032
运维,net,0.024106606514052376
运维,javascript,0.02380527393262672
运维,通讯,0.023639646058592995
运维,应届生,0.023342433481879366
运维,英文,0.022280964139599225
运维,cisco,0.021997278444072794
运维,crm,0.02169594586264714
运维,amp,0.02169594586264714
运维,ftp,0.021243946990508657
运维,www,0.02109328069979583
运维,ibm,0.020942614409083002
运维,itil,0.020641281827657346
运维,汇报,0.020207676681188842
运维,centos,0.019737284083380383
运维,ansible,0.019435951501954728
