职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
IT管理员,江阴法尔胜佩尔新材料科技有限公司,2年经验,大专,无锡-江阴市,3500,6000,1、负责公司网络设备的配置、更新、升级和维护，保障公司局域网和INTERNET的稳定2、负责管理和维护公司软件环境和硬件设备。3、负责公司ERP系统、路由器、防火墙，保密系统、门禁等日常维护4、网络平台的运行监控和维护5、IT设备的管理6、IT相关制度的建立,合资,50,150,医疗设备/器械
IT管理,宁波东浩铸业有限公司,无工作经验,大专,宁波,3000,4500,1、计算机等相关专业；2、有ERP管理工作经验优先；3、负责公司ERP软件管理和维护；4、懂ERP软件后台C语言；5、欢迎优秀应届毕业生应聘；,外资（非欧美）,150,500,"汽车及零配件,机械/设备/重工"
IT管理员,上海道仁输送机械有限公司,2年经验,大专,昆山,6000,8000,岗位职责：1.负责建立完善公司信息化管理制度，信息化应急预案处理方法。2.负责电脑系统的安装维护及日常办公设备的运行管理。3.负责公司网络 ERP PDM 域名 ，后台数据管理维护。4.负责公司新软件 SAP 和 PDM 全面上线及运用。任职要求：1.3年以上IT网络维护工作经验，熟悉SQL SERVER 数据库的应用及操作。2.计算机相关专业知识要求。3.常见软件操作使用。工作时间：8:00-17:00 双休福利：昆山社保、全勤奖、年终奖、节日福利、年终聚餐、旅游、提供吃住、良好的调薪机制等。公司计划2018年8月搬迁至昆山市千灯镇。乘车路线：1.地铁11号线至南翔地铁站走至家乐福超市对面乘821公交至底站 园康路市台路，步行5分钟左右即到陈翔路88号，从88聘翔产业园走至底左拐至2号门，从玻璃门进入上楼至面试填表专区.2.7号线至上海大学地铁站3号口出乘宝山19路公交至底站康路市台路，步行5分钟左右即到陈翔路88号，从88聘翔产业园走至底左拐至2号门，从玻璃门进入上楼至面试填表专区.,民营公司,150,500,机械/设备/重工
IT管理员,无锡亮源激光技术有限公司,1年经验,大专,无锡,4000,5000,岗位内容：1、负责公司保密认证工作的计算机信息相关及后续的维护审核变更工作；2、参与公司保密认证工作的文审相关及后续的维护变更工作；3、维护公司日常计算机相关工作；4、领导交付的其他工作；职责要求：1、大专以上学历，计算机相关专业，男女不限，优秀应届生亦可；2、本地人优先、定居无锡东亭、八士、张泾、安镇等地的优先；3、要求思维敏捷，学习能力强，细心负责任；薪资福利：1、***；2、五险一金，8小时双休；3、2-4月年度奖金，每年加薪，带薪年假等；4、第二年起享受工资以外的工龄贴（500封顶）、住房补贴（500封顶）。,民营公司,50,150,"电子技术/半导体/集成电路,仪器仪表/工业自动化"
系统管理员/IT管理员,广州市天生卫康食品有限公司,无工作经验,大专,广州-花都区,4500,6000,岗位职责：1、负责公司的网络设备、办公设备、服务器、路由器、网络安全系统的日常维护及检查2、负责公司内部信息系统建设、维护，进行公司域名、后台数据、邮箱等管理3、负责处理公司网络及计算机故障，协助公司员工解决计算机及网络使用问题4、负责营运管理系统软件、IT新设备安装及维护，会使用金蝶和银合软件最好。5、协助跟进筹建期间的IT项目建设6、负责全集团的电脑、网络、软件的维护，随便需要去服务部或者猪场维护巡查。7、严格遵守集团和公司的保密规章、制度，履行与本工作岗位相应的保密职责，任何泄密行为造成公司损失，由本人承担相应的赔偿责任8、遵守和执行集团、公司及部门制定的规章制度、管理要求和工作流程9、负责完成上司交办的各项工作任务任职要求：1、计算机及网络相关专业，大专以上学历，2年工作经验2、具有丰富的IT理论知识，较强的IT项目建设和IT技术操作技能3、精通电脑网络安全系统维护，精通电脑硬件维修及Widws、办公自动化系统操作4、熟悉路由器，交换机、防火墙的网络设备的设置与管理，熟悉局域网的组建、管理及排错5、良好的职业道德，工作认真负责、好学、耐心、应变能力强6、熟悉系统软件的维护及使用（如金蝶软件、银合软件等）,民营公司,150,500,"农/林/牧/渔,批发/零售"
IT管理员,中海联地产集团有限公司,2年经验,大专,广州,3000,4500,1、负责计算机软硬件的维护。2、负责公司计算机网络布线、电话网络的建设、优化及日常维护。3、负责公司服务器、路由器、防火墙、电话交换机、打印机等设备的配置及管理。4、负责公司的网络安全，病毒的查杀等，以及日常的技术支持工作。5、完成领导交代的其他工作。任职要求：1、计算机及相关专业专科以上学历，2年以上的企业网络管理、服务器网管工作经验。2、熟练局域网的组建和管理，对交换机、路由器、服务器等设备能进行熟练的配置及管理，熟悉AD域的管理。3、具有良好的职业道德，较强的沟通、协调能力，具有强烈的责任心，能够承受压力。,民营公司,150,500,房地产
IT管理员,湖州越球电机有限公司,3-4年经验,大专,湖州,4500,6000,1、参与制订并规划公司信息化建设， 并组织与协调信息化的实施与检查监督；2、负责计算机网络系统的日常维护和管理；3、负责系统软硬件的调研，安装，升级，维护等工作；4、负责计算机网络，公司邮箱、企业通讯线路，服务器安全运行和数据备份；5、负责办公设备的安装，维护，会议电话、视频、播放等工作；6、负责ERP数据及技术方面的管理；7、负责公司所有电脑，配件及对外采购；8、处理各类计算机软硬件和办公设备故障的处理等；9、领导安排的其他工作。岗位要求：1、电脑计算机专业或软、硬件设计等专业毕业，三年以上从事IT行业工作经验；2、对ERP系统维护、使用、软件管理有一定工作经验者优先；3、执行企业保密制度，严守企业商业秘密。,民营公司,500,1000,机械/设备/重工
IT管理员,苏州市苏润机械科技有限公司,2年经验,大专,苏州,5000,7000,1.负责企业员工电脑软硬件维护及打印机、复印机、台式机、电话等办公设备及网络环境的维护;2.负责公司的网络系统、信息安全、服务器操作系统的日常运维工作，确保系统的高可用性;3.管理公司服务器，负责服务器的架设、设置、安全、防御;4.负责服务器数据的定期备份管理;5.负责网络服务器和网络软件的安装、维护、调整及更新;6.负责公司网站、电子邮件、ERP等系统的异常情况处理及维护更新;7.负责网络账号管理、资源分配、数据安全和系统安全;8.监视网络运行，调整网络参数，调度网络资源，保持网络安全、稳定、畅通;9.完成领导安排的其它任务IT工程师岗位职责IT工程师岗位职责。任职要求：1、计算机或相关专业大专以上学历；2、二年以上工作经验，具有大型企业IT管理经验；3、良好的沟通能力和解决问题的能力；,民营公司,50,150,"机械/设备/重工,汽车及零配件"
IT管理（数据库管理）,北京现代摩比斯汽车配件有限公司,2年经验,本科,北京-朝阳区,10000,15000,岗位职责：1.数据库管理（1）维护数据库，包括数据库性能监控和调优，系统数据安全以及权限管理等（2）数据库系统部署方案的计划、设计和实施（3）设计和开发数据库查询语句、视图和存储过程（4）设数据库备份管理：制定数据库数据备份策略2.数据仓库&amp;数据分析（1）设计各种基于多维数据的前端应用方案（2）数据梳理，提取、清洗和整合（3）数据仓库的设计、开发和维护（4）进行深层次的数据挖掘和分析3.管理&amp;培训工作（1）制定、执行公司的数据管理制度（2）外包服务商和开发商的管理（3）培训内、外部用户正确使用BI信息系统4.领导交办的其他工作任职要求：1.本科及以上学历，信息系统管理或计算机类专业2.精通主流数据库（SQL server、mysql、DB2等）部署和管理，熟练使用SQL语句编辑脚本3.精通Cognos等BI设计工具4.熟悉数据挖掘和数据仓库相关的理论原理5.精通数据库集群构建、数据库设计与应用6.应届生即可，参与过数据库管理或者数据分析等相关项目，具有一定的BI Dashboard &amp; BI Report经验或BI系统开发工作者优先7.较强的沟通协调能力、理解能力逻辑思维能力及时间管理能力，身心健康,合资,150,500,"汽车及零配件,贸易/进出口"
IT管理员,慧眼自动化科技（广州）有限公司,无工作经验,本科,广州,6000,8000,岗位职责：1、进行网络架构的规划、设计、调整、性能优化；2、网络设备的安装、配置、管理，提供网络设备维护方案；3、网络安全，网络质量及网络设备的监控，生成网络质量报表；4、建立完整的网络系统文档；5、协助办公网络环境的维护，终端设备的维护；6、保障和维护公司电话系统、打印机、传真机、扫描仪、投影仪等办公设施正常运行；7、规范、管理公司电脑硬件、软件以及网络系统的正常高效运作；任职要求：1、计算机或网络工程类相关专业，本科及以上学历，有企业网络管理经验；2、熟悉、了解企业网络管理、服务器网管工作，能对网络故障进行快速定位和排除；3、熟悉PC机硬件维护，各种网络设备基本维护；对服务器、路由器、防火墙能够熟练操作及维护，具备故障诊断和处理能力；4、熟悉各类网络协议和服务，比如：TCP/IP协议、各类路由协议、WEB服务、DNS服务、DHCP服务、HTTP服务等；5、对主流硬件及网络产品的性能和价格都有较深了解；6、责任心强，能够承担工作压力，有团队协作精神。7、维护过泛微OA和SAP系统优先。,民营公司,50,150,仪器仪表/工业自动化
