职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
信息系统管理员,成都乐福城市信息技术有限公司,无工作经验,中专,成都,3000,4000,1.基础资料维护及管理；2.ERP服务器维护设置；3.操作员的权限管理和设置；4.各类用户权限管控好设置；5.各类ERP系统故障的维护处理；6.组织制定公司ERP管理标准规章制度，使日常工作及管理有章可循；7.稽查相关ERP单据和运转流程，并实施考核；8.制定建立应对各类突发状况的应急预案和快速恢复方案；9.与ERP软件公司实施公司的协调沟通；10.定期按时向高层领导汇报本部门工作执行情况。任职要求： 1、大专及以上学历，同行业工作经验和计算机相关专业优先； 2、具备良好的沟通、表述、协调能力，服务意识和团队合作精神； 3、能熟练使用办公软件； 上班时间：早9晚6，周末双休 工资待遇：基本工资+绩效工资+福利待遇（补助）+社保,民营公司,50,50,"计算机软件,计算机服务(系统、数据服务、维修)"
信息系统管理,双钱集团（安徽）回力轮胎有限公司,无工作经验,本科,芜湖,3000,4500,1、负责制定完善IT相关制度和工作流程，并按照制度执行。2、负责参与公司整体信息化项目的布局、调整、设计、实施。3、负责核对、报销公司IT各项费用，维护各类系统权限和通讯信息。4、负责统计公司待修故障机，并按照维修流程做好送修工作。5、负责组织维保单位开展项目协调会，汇总分析维保情况，对维保工作考核。6、制定上报IT每月设备及耗材的采购计划，根据预算和实际需求安排采购计划，负责计划的实施以及对IT设备、耗材、零配件等库存的记录管理。7、负责IT相关的各项协议，做好协议或合同的新签、续签的准备工作。8、每月定期检查全厂所有信息化设备、弱电设备，做好台帐记录工作。9、负责统计、分析IT信息化费用和预算。10、完成上级交办的其它临时性工作。,合资,1000,5000,汽车及零配件
信息系统管理专员,江苏恒瑞医药,无工作经验,本科,连云港,4500,6000,岗位职责：1、做好IT设备的管理、分配和技术支持；2、配合运营部门，按照工作流程和要求，做好公司网站的信息更新和发布；3、跟进落实信息系统的升级、测试工作；4、负责ERP/OA/LIMS/WMS等系统的维护与操作；5、做好其他上级布置的工作任务。岗位要求：1、本科以上学历，计算机、软件等相关专业，有相关经验优先；2、工作认真、仔细、有责任心；3、逻辑思维清晰，工作有条理，有计划性；4、遵守规章制度，有自律精神；5、熟悉各类数据库的语言。,上市公司,10000,10000,制药/生物工程
图书馆信息系统管理人员,青岛理工大学琴岛学院,无工作经验,硕士,青岛,2500,5000,一、招聘岗位及任职资格图书馆信息系统管理人员硕士研究生及以上学历；图书馆学等相关专业；中共党员，有较强的计算机应用能力，可长期从事图书馆工作；有图书馆相关工作经验者优先。二、待遇：待遇优厚，五险一金，带薪寒暑假，周末双休，符合条件者可入住单身教职工公寓，适龄子女可入学院附属幼儿园学习。三、应聘程序：应聘人员到琴岛学院网站（www.qdc.edu.cn）人才引进模块下载并填写《青岛理工大学琴岛学院应聘登记表》，将应聘登记表、个人详细简历及学历学位证、职称证、职业资格证、荣誉证书等相关证书复印件通过EMS、顺丰快递邮寄或电子邮件附件形式（附件以“姓名+专业+应聘岗位”命名）投至学院人事处（电子邮箱：qindaohr@qdc.edu.cn）。四、联系人及联系方式：姜老师：  0532-86666222   18305321110  田老师：  0532-86666111   18305321820传  真：0532-8666 6201   邮  编：266106     E-mail: qindaohr@qdc.edu.cn地  址：青岛市城阳区铁骑山路79号青岛理工大学琴岛学院中心楼人事处311室?,非营利组织,1000,5000,教育/培训/院校
信息系统管理,北京京航计算通讯研究所,无工作经验,本科,北京-丰台区,100000,200000,岗位职责：1、负责维护信息系统日常业务的运维工作2、负责维护信息系统服务器、操作系统、虚拟机、中间件、数据库、网络设备、安全设备、存储设备和备份系统等软硬件管理工作3、负责视频会议系统的调试、运维、管理工作4、负责维护涉密信息系统保密资格认证、分级保护、风险评估中信息安全相关工作5、负责非涉密信息系统等级保护检查相关工作6、负责信息系统建设相关工作7、负责领导交办的其它工作任职要求：本科以上学历，党员！有军工单位工作背景优先。1、掌握目前计算机网络、信息安全等知识2、掌握windows操作系统维护3、掌握应用系统基本架构4、了解计算机信息安全技术5、具有2年以上工作经验,事业单位,500,1000,"计算机软件,计算机硬件"
人事信息系统管理（hris）,达内时代科技集团有限公司,无工作经验,本科,北京,5000,8000,岗位职责：1. 协助推动集团人力资源信息化工程，负责EHR，OA及招聘系统的日常操作及信息维护，保障系统有序进行；2. 统计系统常见问题，拟写问题解决方案以及操作文档等；3. 配合统上线工作，协助组织系统操作培训工作系并进行归档；4. 在信息系统应用过程中发挥业务与技术的桥梁作用；任职要求：1. 人力资源、信息化相关专业，统招本科学历，可考虑应届毕业生；2. 沟通能力强，学习能力强，熟悉各大主流操作系统平台，熟悉e-HR、OA、NC和邮箱等日常办公软件；3.性格开朗、工作热情、做事细心，抗压性强，具有一定的分析能力。工作地址：北京市海淀区北三环大钟寺中坤广场E座9层,上市公司,5000,10000,教育/培训/院校
IT系统管理部经理,上海证大喜马拉雅网络科技有限公司,5-7年经验,本科,成都-成华区,10000,20000,职位描述：1、对零售、供应链、电子商务等方面有深刻认识，并在团队建设、合作、协调方面有丰富经验；2、能深入了解O2O业务，把握业务需求，并在业务决策、业务流程等方面提供合适的解决方案；3、负责内外部项目的日常管理工作，包括项目立项、项目计划制定、跟踪项目进度、关注项目质量和成本等；4、负责需求调研跟进及原型设计沟通，组织相关人员完成产品开发与交付；5、负责项目过程管理及各方沟通协调，优化研发内部开发流程，发现问题并提炼方法来解决问题，发送各种报表（同步进度、bug处理情况、风险预警、研发线考核数据确认等)。任职要求：1、大专以上学历，计算机、电子技术、自动化控制、电子商务等相关专业；2、5年以上IT工作经验，1年以上大型连锁企业或商业企业信息系统管理维护工作经验；3、熟悉零售行业ERP、POS收银系统等系统应用与维护；4、具有一年以上Oracle数据库使用经验；至少熟悉各大主流服务器操作系统平台（如:Linux、windows）中的1种；5、具有项目管理经验及机房管理维护与管理经验；6、有互联网公司线下运营经验为佳。IT系统管理部经理,合资,1000,5000,"互联网/电子商务,影视/媒体/艺术/文化传播"
技术运维部部长,亳州中药材商品交易中心有限公司,5-7年经验,本科,亳州,12000,24000,1. 负责组织信息系统开发和实施结束后的试运行，高质量的完成系统的验收和交付；2. 负责组织信息系统的运行、维护和管理，确保信息系统安全、稳定、有效运行；3. 负责组织信息系统涉及的软硬件设备的招标采购工作，保证软硬件设备满足公司发展需要；负责组织公司办公自动化设备的维护、管理。1.教育水平：本科以上学历。2.专业要求：计算机或相关信息技术专业。3.能力要求：掌握信息系统规划、建设方法，熟悉网络系统、数据库系统的建设和管理，精通交易系统运营业务及相关流程，熟悉交易系统、有较强的系统维护、管理和分析能力，熟悉计算机技术、软件开发技术，计算机系统结构、软硬件管理、服务器操作系统管理和计算机网络管理技术技能技巧，具有优秀的职业判断能力。4.工作经验：五年以上信息技术管理经验，三年以上大型信息系统管理经验，两年软件开发或管理经验。5.职业资格：具备软件开发工程师、系统工程师、网络工程师、数据库工程师、信息系统项目管理师等资格。,上市公司,150,500,"金融/投资/证券,制药/生物工程"
销售培训师,智能云科信息科技有限公司,5-7年经验,本科,上海-杨浦区,10000,20000,岗位职责：1、根据公司市场营销战略，负责产品培训授课工作，对培训效果进行跟进及评估，确保销售人员及合作伙伴对产品的理解一致，对外传递产品信息一致。2、主导与产品部门的对接，组织产品迭代意见的讨论，并对意见进行汇总，并提出迭代意见。3、对用户需求进行收集汇总，协助销售中心面对用户需求提出新产品的设计规划，与产品部门对接推进新产品的研发。4、能够主动了解、学习其他竞品公司/移动互联网公司相关的产品信息和培训材料，并能转化为道有道公司的相关知识传递给所有内部销售和合作伙伴。岗位要求：1、本科以上学历，机械制造及自动化、计算机信息系统管理等相关专业；2、5年以上软件销售或实施经验（MES/CAPP/PLM/CRM）、制造业解决方案营销、互联网+自动化/机械制造领域销售或同等领域培训讲师经验；3、具有良好的沟通能力及感染力、亲和力，以及有编辑课件制作PPT的能力，能有效准确的传达课件内容；4、有一定的市场分析和判断力；5、善于自我学习，能尽快掌握各类相关知识的更新和新的语言技巧；6、性格开朗，能适应较大工作压力，能经常出差。,合资,150,500,"互联网/电子商务,计算机服务(系统、数据服务、维修)"
建筑工程会计主管,四川金仁建筑工程有限公司,5-7年经验,大专,成都-金牛区,6000,8000,岗位职责及主要工作：1. 协助制定公司财务发展战略；负责财务内控体系建设工作，组织建立和完善财务管理制度，建立财务管理体系和会计核算体系，并组织实施、不断优化；2. 主持公司财务核算工作，组织完成公司的会计核算、财务预决算、税务筹划、财务信息系统管理等；3. 主持公司资金管理工作，组织开展公司资金的筹措、拨付和管理，保证资金的安全；4. 负责公司财务管理工作，对公司各项财务开支进行监督和检查；5. 负责公司财务分析工作，及时掌握财务状况、制定、维护、改进公司财务管理程序和政策，以满足控制风险的要求；6. 对公司重大的投资、融资、并购等经营活动提供建议和决策支持，参与风险评估、指导、跟踪和控制；7. 负责与集团财务部、银行、税务等部门之间的沟通协调工作；8. 参与公司日常经营管理业务中明确需由财务部共同完成的工作；9. 负责部门团队建设及员工培养，制定财务管理相关指标，配合做好绩效考核管理；任职要求：1. 会计、财务管理、税务相关专业专科及以上学历；中级及以上会计职称；2. 8年以上财务工作经验，5年以上同等岗位工作经验；3. 熟练掌握企业会计准则、企业财务制度及流程，精通相关财税法律法规；4. 具有丰富的财务管理、投资管理、资金筹划与运用管理、税务筹划及成本管理能力；5. 具有国有大中型企业工作背景，具有注册会计师、注册税务师等资格者优先。,民营公司,50,150,建筑/建材/工程
