职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
电子商务运营助理,浙江欧伦电气有限公司,1年经验,中专,杭州-余杭区,3000,5000,1、负责京东/天猫促销活动，公司内部协调工作，协助策划京东/天猫 店铺促销和关联销售活动，分析每日营销和交易数据；2、负责与京东 /天猫运营人员接洽沟通，做好各方面配合工作；3、负责协助商品标题、广告语详情优化，以获得尽可能多的自然流量和尽可能高的成交率；4、协助运营负责人完成日常打单发货等事项5、完成领导安排的其他工作。任职资格：熟悉京东/天猫 运营操作和后台良好的沟通和组织协调能力具有责任心?想获得更多的学习成长经历,民营公司,150,500,家具/家电/玩具/礼品
电子商务运营助理,广州云鹭庭贸易有限公司,无工作经验,大专,广州-白云区,3500,4500,"岗位职责：1. 负责公司产品信息的整理编辑，丰富商品信息；2. 跟进产品上传，图片管理，协助完成新品上架；3. 参与公司网站广告推广、相关促销活动与创意；4. 负责商品维护及补货管理；任职资格：1. 英语、商务英语、市场营销等大专及以上学历，英语四级及以上水平，法语或德语者优先；2. 英语书面沟通流畅；3. 工作积极主动,责任心强,敢于挑战自我，能承受工作压力；4. 三观正+契约精神+团队合作精神+沟通能力+执行力，欢迎应届毕业生；关于我们：1.薪酬结构：底薪+绩效奖金+全勤奖+补贴；2.人性化的管理：手机打卡、健身娱乐、下午茶、节日PARTY、月活动、公费旅游等；3. 完善的培训机制；合理的晋升渠道；4. 带薪休假、年终双薪等；5. 严格按照国家法定节假日放假，节日福利；6.90后为主体的团队，充满欢声笑语的工作氛围，欢迎志同道合的你加入！工作时间：周一到周五朝9晚6，周末单双休制，单休休一天半联系人：吕小姐",民营公司,50,50,"贸易/进出口,互联网/电子商务"
阿里巴巴渠道电子商务专员/网络销售l,广州福盈网络技术有限公司,无工作经验,高中,广州-荔湾区,6000,10000,1.依托公司的资源 寻找有意向入驻阿里巴巴会员，进行跟踪；2.通过微信，QQ，陌拜 、旺旺 电话等方式维护客户，定期归类；3.帮助阿里巴巴会员增加销量，推广产品，达成教育；4、协助主管完成相关工作岗位要求：1、大专或以上学历，18-26岁，男女不限，经验不限，有销售工作经验者优；2、有责任心，心态良好，积极阳光，能承受压力，有良好亲和力；3、口语清晰，思维能力强，能快速应对各种客户提问题；4、认可公司和部门的文化，积极好学，有上进心；5、能积极完成部门或团队的工作任务和目标。福利待遇：工作时间：朝九晚六 法定假期薪酬待遇：无责任底薪+高提成+奖金+五险一金+旅游+节日福利+周末活动培训体系：入职员工即可享受专业的带薪培训，部门和公司会定时举办专业培训晋升空间：每个月启动大会评选优秀员工，每个季度竞选储备干部，一年竞选团队经理、客户经理和部门总监。只要你够努力，一切都是可能！办公环境：荔湾七喜创意园，环境非常好，气氛活跃，员工和睦奋进，地理位置非常优越交通便利（靠近地铁站和公交站）集团文化：企业网商化，网商企业化，打造一流的电商团队，做网商应用领导者,民营公司,50,150,互联网/电子商务
电子商务/电商运营专员,东莞市奥马实业投资有限公司,无工作经验,大专,东莞-松山湖区,6000,8000,岗位职责：1、负责公司电商产品采购、比价、包装、上架；2、负责合作供应商联系与维护；3、负责管理平台的第三方商家商品销售，对重点商家进行项目进程指导、资源协调、项目实施监督，协调相关人员解决项目突发问题，监督入驻商家数据表现，确保有效利用平台资源；任职要求：1、大专及以上学历，1年以上电商平台，有电商工作经验的优先；2、具备较强的活动策划、活动实施能力，具备良好的沟通协调能力；3、有强烈的责任心和积极的工作态度；,民营公司,50,150,"互联网/电子商务,金融/投资/证券"
[35]电子商务经理,基蛋生物科技股份有限公司,1年经验,本科,南京,8000,12000,工作职责:1、负责电子商务网站的整体规划、实施及运营，建立网站运营的内部管理制度、规范和业务流程;2、负责网站的整体推广、网络渠道开发、网络业务拓展与对外合作;3、负责团队的日常管理，制定团队的内部管理措施、规范及业务流程;4、负责网络销售项目的日常管理工作;5、负责部门员工的管理、指导、培训及评估;6、协助制定公司渠道产品的电子商务发展策略，通过有效的成本控制和营销手段，提升在线销售平台的品牌知名度、扩大市场影响力。任职资格:1、熟悉电子商务网站的组建、制作、运营与维护;2、熟悉电子商务平台开发、管理及电子商务推广，可独立执行主流平台的运行及SEO、软文、微博、微信、企业APP等主流方法及渠道的推广;3、具备团队组建、运营架构和执行流程规划的实践经验;4、具有良好的电商销售策划能力，具有良好的沟通和商务谈判能力;学历要求：电子商务相关专业等相关专业本科及以上；工作经历： 有1-2年体外诊断试剂相关产品推广工作经验素质要求：形象气质佳，有亲和力，有强烈的责任心和认真细致的工作态度。,上市公司,500,1000,"制药/生物工程,医疗设备/器械"
业务员/电子商务,佛山市鑫佛机电设备有限公司,无工作经验,高中,佛山,3000,10000,1.有一定的销售经验（有机械行业经验优先）2.有较强的网络搜索客户能力，能独立开发客户3.有电话销售或网上销售经验，如阿里巴巴，淘宝，百度等。4.有上进心，肯拼博，敢于挑战，有理想，的应届毕业生也可以。,民营公司,50,50,机械/设备/重工
电子商务客服,广东梦诗丽生物科技有限公司,无工作经验,高中,广州-白云区,4500,7000,岗位职责：1、公司提供优质精准客服资源，通过京东，天猫，淘宝等线上平台回复顾客；2、主回访顾客进行产品满意度调查，挖掘顾客更多需求，促成回购；3、对已购买的顾客进行产品使用指导，售后服务及后期的回购；4、维护好顾客档案。任职资格：1、男女不限，应届毕业生亦可，无工作经验可培养，但你有坚持学习的态度；2、具有良好的沟通能力及执行能力；3、诚实、责任心强、具有良好的应变能力和学习能力。5、积极配合团队一起完成工作。薪资福利：1、无责任底薪3200+提成+团队/个人奖+丰厚绩效奖+员工年底分红，2、公司注重团队建设和培养个人能力的提升。3、公司基本都是90后的销售精英，容易相处，充满青春活力，工作氛围轻松。4、每年1次带薪国外豪华旅游。5、通过公司考核的都可以购买社保6、横向发展：客服—小组长—主管—经理—总监纵向发展：电商运营  文案策划  平面设计  电商美工  产品摄影   推广专员  新媒体运营公司其他感兴趣的职位，都能有机会得到尝试，只要你想做，我们就给你提供机会。公司地址：广州市白云区黄边M3创意园B栋408联系电话：18072552115 黄小姐咨询及面试时间：（周一至周六）上午10：00~12:00，下午14：30—17：00。乘车路线：地铁2号地铁站下车D出口直走500米时代玫瑰园公交总站对面公交站：38路，58路时代玫瑰园总站,民营公司,50,150,互联网/电子商务
电子商务运营经理,苏州工业园区蓝海裕景食品有限公司,2年经验,大专,苏州-工业园区,6000,8000,1、男女不限，负责组建公司电子商务平台团队与运营管理。2、制定销售战略与销售目标，负责商品管理，顾客管理，营销交易数据管理。3、负责互联网旗舰店的产品更新，店铺设计陈列，策划节庆日期促销活动内容。要求大专以上学历，电子商务，网络营销类专业毕业者，熟悉京东，天猫，淘宝等互联网店铺营销，网络推广，传播和渠道分销，熟悉电子商务商业模式与流程者优先。待遇：工资底薪优厚+股权激励。（公司向有志创业者提供平台，共同发展，是您展示个人能力通向理想目标的优越舞台！）,民营公司,50,150,"贸易/进出口,批发/零售"
网络推广电子商务seo优化文员5000不是梦,武汉格瑞丁电气工程有限公司,无工作经验,大专,武汉-东西湖区,3000,4500,武汉海德格瑞丁科技有限公司是格瑞丁集团在互联网时代全新设立的全资专业子公司，公司主营业务为发展线上线下教育互联互通信息平台。公司依托格瑞丁集团，立志成为卓越的在线服务提供商，教育服务的引领者，客户满意、社会信赖的优质服务创造者！岗位优势：无需风吹日晒，工作在冬暖夏凉的办公室，无需电话推销。绩效奖金丰厚，员工有优越晋升空间，上岗后有资深领导亲自岗前指导。同事之间相处融洽，工作气氛轻松愉快。三地铁口办公（2号线，3号线，8号线直达），舒适的办公环境，融洽的工作氛围，稳定的工作时间，高档写字楼，所有的工作都是通过简单的电脑操作来完成。公司包三餐，周末双休，法定假期，8小时工作制。任职要求：1、大专以上学历，可接收应届毕业生。2、能够熟练操作电脑，为人正直诚恳，服从公司管理，诚实守信。3、通过电脑发帖、群发消息、转发文章等方式（无需打电话）完成公司移动互联产品的网络推广。福利待遇：1.薪资构成：无责任底薪+丰厚绩效奖金，月薪5000不是梦；2.五险一金（养老保险、医疗保险、工伤保险、失业保险、商业保险、住房公积金）;3.签订正规的劳动合同;4.公司提供三餐;5.学习：公司资深领导亲自进行岗位指导、经验分享;6.通畅公平的晋升体系：每季度举行一次述职大会，所有管理层均从内部员工提升。为每位员工提供广阔的晋升空间，只要你够优秀，你就有机会。全体团队期待您的加入！,民营公司,50,50,"互联网/电子商务,计算机软件"
高薪诚聘淘宝运营/天猫运营/电子商务运营专员(职位编号：002),郑州李唐电子科技有限公司,1年经验,大专,郑州,3000,10000,1.负责天猫商城的运营管理，策划网站营销活动方案，并推进执行，完成营销目标；2.负责天猫网店日常的推广项目，旺铺、店铺与标题关键字策略、橱窗推荐、论坛社区、搜索引擎营销、淘宝直通车、淘宝客等，并配合店铺自身的各类营销推广3、负责促销活动策划，制定和执行，对促销和推广活动进行追踪，对方案不断进行优化，以达到***的效果；4、对淘宝天猫店铺进行日常维护、管理、产品更新、能独立操作店铺陈列，以增强店铺视觉吸引力、产品销量；5、能独立策划大型整合营销活动，能够找到性价比高、有效的网络广告及推广方式，分析本店的页面流量等数据；6. 熟悉天猫运营环境、交易规则、广告资源、营销模式并有独到见解。任职要求：1、大专以上学历，电子商务或计算机相关专业，一年以上相关工作经验；2、熟悉网店基础操作、有关键词优化经验、直通车推广经验、淘宝活动报名经验于资源；3、具备良好的团队精神，富有责任心、学习能力强！有3c类目经验者优先录用！薪资：底薪 提成 年底双薪 五险一金 工龄工资   公司定期聚餐；这里有的不只是平台、机会，还有让你提升自我、重新认识生活的魔力！志同道合的你，还在等什么？如果满足条件，可 带上简历联系我们安排面试哦！,民营公司,50,50,"互联网/电子商务,批发/零售"
电子商务&网络销售(职位编号：Internet Sales),珠海艾瑞特商贸有限公司,1年经验,高中,珠海-香洲区,5000,10000,主售美妆产品或电子产品岗位职责：1、利用网络进行公司产品的销售及推广；2、与同事、团队合作协力完成销售任务；3、负责公司网上贸易平台的操作管理和产品信息的发布；4、了解和搜集网络上各同行及竞争产品的动态信息；5、通过网络进行渠道开发和业务拓展； 6、按时完成销售任务。任职资格：1、专科及以上学历，市场营销等相关专业；2、1-2年以上网络销售工作经验，具有网络销售渠道者优先；3、工作态度好，肯学习、愿意团结合作完成任务；4、有想法、有自信，遇到困难能独立解决难题者优先录用；5、精通各种网络销售技巧，有网上开店等相关工作经验，熟悉各大门户网站及各网购网 站；6、熟悉互联网络，熟练使用网络交流工具和各种办公软件；7、有较强的沟通能力。薪资与福利：1、工作满一年以上者发与年终奖金，看个人表现给1-3个月月薪不等。2、中秋、端午享有奖金与福利；3、与团队表现、个人表现相关之丰厚提成奖金；4、不定时举办员工活动；5、高额的全年全勤奖金；6、工作满一年之员工，在全年年度业绩达标后享有国内外员工旅游；7、其他国家法定之员工福利；,外资（非欧美）,50,50,批发/零售
